UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
152,7045,2,298.4,308.2,1463,37.6,188,0
153,7046,2,298.4,308.2,1584,41.0,191,0
154,1094,1,298.4,308.2,1850,27.0,194,0
155,1095,1,298.4,308.2,1528,36.2,196,0
156,18,0,298.4,308.2,1987,19.8,198,0
157,7047,2,298.4,308.1,1495,46.0,203,0
158,19,0,298.4,308.2,1478,43.5,206,0
159,7048,2,298.4,308.2,1499,40.0,211,0
160,1096,1,298.4,308.2,1471,47.0,214,0
161,1097,1,298.4,308.2,1282,60.7,216,1
162,1098,1,298.3,308.1,1412,52.3,218,1
163,1099,1,298.3,308.1,1586,35.5,0,0
164,7049,2,298.4,308.2,1468,43.8,2,0
165,7050,2,298.5,308.3,1440,43.6,5,0
166,1100,1,298.5,308.4,1733,26.0,8,0
167,20,0,298.4,308.2,1612,32.6,10,0
168,21,0,298.4,308.3,1458,42.9,15,0
169,1101,1,298.4,308.3,1433,62.3,20,1
170,1102,1,298.4,308.3,1318,59.1,22,0
171,7051,2,298.4,308.2,1610,35.0,24,0
172,1103,1,298.2,308.1,1462,50.8,27,0
173,7052,2,298.1,308.0,1924,20.8,29,0
174,7053,2,298.2,308.0,1591,33.7,32,0
175,1104,1,298.2,308.1,1306,58.3,35,0
176,1105,1,298.2,308.1,1382,43.5,37,0
177,1106,1,298.2,308.1,1618,34.7,39,0
178,1107,1,298.2,308.2,1988,21.4,41,0
179,1108,1,298.2,308.2,1436,50.2,43,0
180,1109,1,298.2,308.3,1304,49.8,45,0
181,1110,1,298.2,308.3,1475,49.9,47,0
182,22,0,298.2,308.3,1824,24.2,49,0
183,7054,2,298.1,308.2,1342,48.1,54,0
184,1111,1,298.1,308.2,1485,40.7,57,0
185,1112,1,298.2,308.2,1667,30.6,59,0
186,1113,1,298.2,308.2,1446,38.2,61,0
187,1114,1,298.1,308.3,1301,56.0,63,0
188,1115,1,298.2,308.4,1379,43.1,65,0
189,1116,1,298.3,308.5,1606,33.6,67,0
190,7055,2,298.3,308.4,1539,43.4,69,0
191,1117,1,298.2,308.4,1477,49.9,72,0
192,1118,1,298.2,308.4,1666,34.6,74,0
193,23,0,298.2,308.4,1398,51.8,76,0
194,24,0,298.2,308.4,1678,34.6,81,0
195,7056,2,298.2,308.5,2678,10.7,86,1
196,1119,1,298.3,308.5,1453,42.9,89,0
197,25,0,298.3,308.6,1432,49.5,91,0
198,7057,2,298.4,308.6,1527,40.9,96,0
199,1120,1,298.4,308.7,1588,35.0,99,0
200,1121,1,298.4,308.6,1433,47.1,101,0
201,1122,1,298.4,308.6,1609,35.0,103,0
202,1123,1,298.3,308.5,1575,41.2,105,0
203,7058,2,298.4,308.5,1636,35.7,107,0
204,1124,1,298.4,308.5,1490,37.9,110,0
205,1125,1,298.4,308.5,1741,32.8,112,0
206,7059,2,298.5,308.6,1344,53.0,114,0
207,1126,1,298.5,308.7,1609,35.3,117,0
208,7060,2,298.4,308.7,1421,60.7,119,1
209,1127,1,298.4,308.6,1591,36.7,122,0
210,1128,1,298.4,308.6,1477,44.0,124,0
211,1129,1,298.4,308.7,1523,36.1,126,0
212,1130,1,298.5,308.7,1575,33.9,128,0
213,26,0,298.4,308.7,1344,52.9,130,0
214,1131,1,298.4,308.7,1386,44.9,135,0
215,7061,2,298.3,308.6,1589,37.1,137,0
216,1132,1,298.3,308.6,1548,40.3,140,0
217,1133,1,298.3,308.6,1499,38.3,142,0
218,1134,1,298.3,308.5,1664,31.6,144,0
219,1135,1,298.3,308.6,1447,38.1,146,0
220,7062,2,298.3,308.5,1434,46.2,148,0
221,1136,1,298.3,308.5,1416,52.7,151,0
222,27,0,298.4,308.5,1827,24.3,153,0
223,1137,1,298.4,308.6,1304,45.0,158,0
224,1138,1,298.4,308.6,1569,34.4,160,0
225,1139,1,298.3,308.6,1584,29.3,162,0
226,1140,1,298.3,308.5,1362,53.8,164,0
227,1141,1,298.3,308.4,1329,49.2,166,0
228,1142,1,298.3,308.5,1539,36.1,168,0
229,7063,2,298.3,308.5,1629,37.1,170,0
230,1143,1,298.3,308.5,1538,32.2,173,0
231,1144,1,298.3,308.6,1570,34.8,175,0
232,1145,1,298.3,308.4,1408,43.1,177,0
233,1146,1,298.2,308.4,1424,47.6,179,0
234,1147,1,298.2,308.4,1512,34.9,181,0
235,1148,1,298.2,308.4,1478,42.9,183,0
236,7064,2,298.1,308.3,1680,33.7,185,0
237,1149,1,298.1,308.3,1495,38.7,188,0
238,7065,2,298.0,308.1,1552,36.6,190,0
239,1150,1,297.9,308.1,1393,50.3,193,0
240,1151,1,298.0,308.2,1611,30.6,195,0
241,7066,2,298.0,308.1,1339,51.6,197,0
242,1152,1,298.0,308.1,1777,24.3,200,0
243,1153,1,298.0,308.2,1348,58.8,202,1
244,1154,1,298.0,308.2,1442,44.1,204,0
245,7067,2,298.0,308.2,1395,49.1,206,0
246,7068,2,297.9,308.1,1627,31.4,209,0
247,1155,1,297.9,308.1,1585,33.5,212,0
248,1156,1,298.0,308.2,1469,45.5,214,0
249,1157,1,298.0,308.3,1362,56.8,216,1
250,1158,1,298.0,308.3,1405,56.2,218,1
251,1159,1,298.0,308.3,1662,32.7,0,0
252,7069,2,298.0,308.2,1466,42.6,2,0
253,1160,1,298.0,308.2,1620,35.8,5,0
254,1161,1,298.0,308.2,1357,48.2,7,0
255,1162,1,298.0,308.2,1514,37.9,9,0
256,1163,1,298.0,308.2,1489,40.4,11,0
257,1164,1,298.1,308.3,1331,63.0,13,0
258,1165,1,298.0,308.0,1615,29.5,15,0
259,1166,1,298.1,308.2,1482,37.9,17,0
260,7070,2,298.1,308.2,1420,63.9,19,1
261,7071,2,298.2,308.3,1522,49.1,22,0
262,1167,1,298.1,308.2,1654,32.1,25,0
263,7072,2,298.1,308.2,1736,26.8,27,0
264,7073,2,298.0,308.1,1587,32.3,30,0
265,1168,1,298.1,308.2,1390,47.5,33,0
266,1169,1,298.0,308.1,1454,37.1,35,0
267,28,0,298.0,308.1,1440,43.7,37,0
268,1170,1,297.9,308.0,1954,21.1,42,0
269,29,0,297.9,308.0,1800,24.8,44,0
270,1171,1,298.0,308.0,1524,37.0,49,0
271,30,0,298.0,308.0,1520,39.6,51,0
272,7074,2,298.1,308.1,1452,40.8,56,0
273,1172,1,298.1,308.1,1484,40.4,59,0
274,1173,1,298.1,308.0,1426,46.0,61,0
275,1174,1,298.1,308.0,1652,28.5,63,0
276,1175,1,298.0,308.0,1401,54.7,65,0
277,7075,2,298.0,307.9,1750,26.6,67,0
278,31,0,298.0,308.0,1479,50.7,70,0
279,7076,2,298.0,308.0,1620,29.4,75,0
280,1176,1,298.0,308.1,1819,23.4,78,0
281,7077,2,298.1,308.1,1456,43.7,80,0
282,1177,1,298.1,308.0,1626,36.5,83,0
283,7078,2,298.1,308.1,1390,49.8,85,0
284,1178,1,298.2,308.2,1469,43.0,88,0
285,1179,1,298.2,308.3,2051,19.2,90,0
286,1180,1,298.2,308.3,1568,36.0,92,0
287,1181,1,298.2,308.3,1589,33.2,94,0
288,1182,1,298.2,308.3,1805,31.6,96,0
289,32,0,298.2,308.4,1385,42.2,98,0
290,1183,1,298.1,308.4,1436,46.7,103,0
291,1184,1,298.1,308.4,1438,45.6,105,0
292,1185,1,298.0,308.3,1473,42.6,107,0
293,1186,1,298.1,308.4,1335,40.2,109,0
294,33,0,298.1,308.5,1392,44.8,111,0
295,7079,2,298.1,308.5,1372,51.1,116,0
296,7080,2,298.1,308.6,1716,30.7,119,0
297,1187,1,298.0,308.5,1395,46.2,122,0
298,1188,1,298.0,308.5,1713,25.3,124,0
299,34,0,297.9,308.5,2129,18.7,126,0
300,7081,2,297.8,308.3,1567,35.6,131,0
301,1189,1,297.8,308.4,1622,38.3,134,0
302,1190,1,297.7,308.4,1740,27.1,136,0
303,35,0,297.8,308.4,1512,35.1,138,0
304,7082,2,297.8,308.4,1479,43.5,143,0
305,1191,1,297.8,308.4,1737,27.5,146,0
306,1192,1,297.8,308.4,2129,19.2,148,0
307,1193,1,297.8,308.4,1374,47.1,150,0
308,7083,2,297.8,308.4,1579,36.6,152,0
309,1194,1,297.9,308.5,1305,47.2,155,0
310,7084,2,297.9,308.5,1449,40.8,157,0
311,36,0,298.0,308.6,1526,41.8,160,0
312,7085,2,298.0,308.6,1453,44.1,165,0
313,1195,1,297.9,308.6,1468,36.0,168,0
314,1196,1,298.0,308.6,1313,50.8,170,0
315,7086,2,297.9,308.5,1300,53.0,172,0
316,1197,1,297.9,308.4,1646,40.6,175,0
317,1198,1,297.8,308.4,1714,33.2,177,0
318,1199,1,297.8,308.4,1685,28.4,179,0
319,1200,1,297.8,308.4,1512,39.9,181,0
320,1201,1,297.8,308.4,1612,32.1,183,0
321,37,0,297.8,308.4,1550,38.2,185,0
322,1202,1,297.8,308.4,1518,32.5,190,0
323,1203,1,297.8,308.5,1448,40.0,192,0
324,1204,1,297.8,308.5,1561,46.3,194,0
325,7087,2,297.8,308.5,1488,41.9,196,0
326,1205,1,297.8,308.5,1699,27.8,199,0
327,1206,1,297.7,308.5,1501,41.4,201,0
328,1207,1,297.7,308.5,1373,56.7,203,1
329,38,0,297.6,308.4,1703,31.4,205,0
330,39,0,297.7,308.5,1720,29.9,210,0
331,7088,2,297.6,308.4,1398,41.9,215,0
332,7089,2,297.6,308.4,1391,51.9,218,0
333,7090,2,297.6,308.3,1538,40.2,0,0
334,1208,1,297.5,308.2,1647,31.3,3,0
335,7091,2,297.5,308.1,1469,44.8,5,0
336,1209,1,297.4,308.1,1749,25.9,8,0
337,7092,2,297.6,308.2,1995,20.5,10,0
338,1210,1,297.6,308.3,1742,27.7,13,0
339,1211,1,297.5,308.2,1563,38.2,15,0
340,7093,2,297.5,308.2,1713,32.2,17,0
341,1212,1,297.4,308.1,1474,39.4,20,0
342,7094,2,297.4,308.2,1530,32.6,22,0
343,1213,1,297.4,308.2,1471,46.5,25,0
344,1214,1,297.5,308.3,1388,48.6,27,0
345,7095,2,297.5,308.2,2448,13.8,29,0
346,1215,1,297.5,308.3,1585,32.9,32,0
347,7096,2,297.5,308.3,1459,45.2,34,0
348,1216,1,297.5,308.3,1544,40.8,37,0
349,1217,1,297.6,308.3,1617,31.7,39,0
350,1218,1,297.6,308.3,1595,34.3,41,0
351,40,0,297.6,308.3,1400,44.3,43,0
352,7097,2,297.6,308.4,1611,31.0,48,0
353,7098,2,297.6,308.4,1507,46.0,51,0
354,41,0,297.5,308.3,1674,30.0,54,0
355,1219,1,297.6,308.3,1658,34.3,59,0
356,1220,1,297.6,308.3,1623,36.9,61,0
357,7099,2,297.6,308.4,1398,48.9,63,0
358,1221,1,297.6,308.4,1517,34.2,66,0
359,7100,2,297.6,308.3,1467,36.7,68,0
360,7101,2,297.6,308.3,1567,34.6,71,0
361,7102,2,297.5,308.3,1521,38.2,74,0
362,1222,1,297.5,308.3,1596,36.8,77,0
363,42,0,297.6,308.3,1640,30.9,79,0
364,1223,1,297.6,308.3,1438,47.8,84,0
365,1224,1,297.6,308.4,1407,55.2,86,0
366,1225,1,297.6,308.4,1353,57.5,88,0
367,7103,2,297.6,308.5,1552,40.9,90,0
368,7104,2,297.6,308.4,1569,38.3,93,0
369,1226,1,297.5,308.4,1489,39.5,96,0
370,43,0,297.5,308.4,1587,36.1,98,0
371,7105,2,297.5,308.3,1622,37.2,103,0
372,1227,1,297.5,308.4,1604,38.1,106,0
373,7106,2,297.4,308.3,1405,51.7,108,0
374,1228,1,297.4,308.3,1412,42.0,111,0
375,1229,1,297.4,308.3,1431,43.0,113,0
376,1230,1,297.4,308.2,1533,37.4,115,0
377,7107,2,297.4,308.2,1401,51.9,117,0
378,7108,2,297.4,308.2,1424,53.9,120,0
379,1231,1,297.3,308.2,1754,29.4,123,0
380,1232,1,297.3,308.2,1754,26.8,125,0
381,1233,1,297.5,308.3,2564,12.8,127,1
382,1234,1,297.5,308.5,1546,40.4,129,0
383,1235,1,297.5,308.5,1335,48.0,131,0
384,7109,2,297.5,308.6,1842,27.0,133,0
385,1236,1,297.5,308.5,1712,26.8,136,0
386,7110,2,297.6,308.6,1414,45.4,138,0
387,1237,1,297.6,308.7,1319,50.9,141,0
388,1238,1,297.7,308.7,1249,60.4,143,0
389,1239,1,297.6,308.7,1455,48.2,145,0
390,7111,2,297.6,308.7,1408,54.8,147,0
391,1240,1,297.6,308.7,1460,46.7,150,0
392,1241,1,297.6,308.6,1491,38.1,152,0
393,7112,2,297.6,308.5,1490,43.4,154,0
394,7113,2,297.5,308.4,1350,52.2,157,0
395,1242,1,297.5,308.4,1528,39.9,160,0
396,1243,1,297.4,308.3,1571,37.7,162,0
397,1244,1,297.4,308.3,1490,42.6,164,0
398,7114,2,297.4,308.3,1774,28.9,166,0
399,44,0,297.4,308.3,1502,43.6,169,0
400,1245,1,297.4,308.4,1392,49.7,174,0
401,1246,1,297.4,308.5,2100,16.9,176,0
402,1247,1,297.5,308.5,1722,30.4,178,0
403,1248,1,297.4,308.6,1678,32.3,180,0
404,1249,1,297.3,308.6,1273,59.8,182,0
405,1250,1,297.3,308.6,1297,45.9,184,0
406,1251,1,297.3,308.5,1350,57.6,186,0
407,1252,1,297.4,308.6,1439,51.9,188,0
408,7115,2,297.4,308.5,1600,42.1,190,0
409,7116,2,297.4,308.6,1434,44.4,193,0
410,1253,1,297.4,308.6,1459,41.3,196,0
411,7117,2,297.5,308.6,1472,44.9,198,0
412,1254,1,297.5,308.7,1429,44.3,201,0
413,1255,1,297.5,308.6,1388,48.2,203,0
414,1256,1,297.4,308.4,1573,34.5,205,0
415,1257,1,297.4,308.4,1588,32.5,207,0
416,1258,1,297.5,308.4,1511,42.8,209,0
417,1259,1,297.4,308.5,1495,37.8,211,0
418,1260,1,297.4,308.4,1394,50.1,213,0
419,1261,1,297.4,308.4,2151,17.7,0,0
420,7118,2,297.3,308.3,1501,38.2,2,0
421,7119,2,297.3,308.3,1301,39.6,5,0
422,7120,2,297.3,308.3,1657,31.1,8,0
423,1262,1,297.3,308.3,1333,55.2,11,0
424,1263,1,297.3,308.3,1484,43.9,13,0
425,1264,1,297.3,308.4,1430,45.7,15,0
426,7121,2,297.3,308.4,1665,28.9,17,0
427,1265,1,297.4,308.5,1501,44.9,20,0
428,7122,2,297.5,308.5,1496,42.2,22,0
429,7123,2,297.6,308.6,1595,36.9,25,0
430,1266,1,297.5,308.6,1208,62.3,28,0
431,1267,1,297.5,308.6,1596,37.1,30,0
432,1268,1,297.5,308.5,1446,41.9,32,0
433,7124,2,297.6,308.5,1466,39.7,34,0
434,7125,2,297.6,308.5,1848,23.7,37,0
435,7126,2,297.5,308.5,1484,44.7,40,0
436,1269,1,297.4,308.3,1493,41.2,43,0
437,1270,1,297.3,308.3,1504,36.3,45,0
438,1271,1,297.3,308.3,1538,38.5,47,0
439,1272,1,297.4,308.4,1341,52.2,49,0
440,7127,2,297.4,308.3,1535,34.6,51,0
441,1273,1,297.4,308.5,1389,39.2,54,0
442,45,0,297.5,308.5,1393,46.6,56,0
443,1274,1,297.4,308.5,1399,61.5,61,1
444,46,0,297.4,308.5,1469,45.1,63,0
445,1275,1,297.4,308.4,1582,37.2,68,0
446,1276,1,297.5,308.6,1793,26.7,70,0
447,1277,1,297.5,308.6,1452,39.0,72,0
448,7128,2,297.6,308.7,1376,59.9,74,0
449,1278,1,297.5,308.6,1552,44.9,77,0
450,1279,1,297.6,308.7,1622,37.9,79,0
451,7129,2,297.6,308.7,1419,41.7,81,0
452,47,0,297.5,308.6,1440,46.1,84,0
453,7130,2,297.4,308.6,1643,31.0,89,0
454,1280,1,297.4,308.7,1510,36.2,92,0
455,1281,1,297.4,308.7,1468,46.6,94,0
456,1282,1,297.4,308.7,1429,57.4,96,0
457,48,0,297.3,308.7,1478,47.6,98,0
458,1283,1,297.4,308.6,1276,53.6,103,0
459,1284,1,297.3,308.6,1486,42.6,105,0
460,1285,1,297.4,308.6,1476,42.3,107,0
461,49,0,297.3,308.6,1431,42.0,109,0
462,1286,1,297.4,308.7,1402,40.2,114,0
463,1287,1,297.4,308.7,1433,43.4,116,0
464,1288,1,297.4,308.7,2874,4.2,118,1
465,1289,1,297.3,308.6,1511,35.7,120,0
466,7131,2,297.3,308.6,1456,42.9,122,0
467,1290,1,297.2,308.5,1550,41.5,125,0
468,1291,1,297.2,308.5,2182,16.5,127,0
469,1292,1,297.3,308.7,1619,31.6,129,0
470,7132,2,297.3,308.8,1586,32.7,131,0
471,50,0,297.3,308.8,1499,44.2,134,0
472,51,0,297.3,308.8,1419,42.4,139,0
473,7133,2,297.4,309.0,1497,41.8,144,0
474,7134,2,297.4,309.0,1520,37.0,147,0
475,1293,1,297.4,309.1,1478,49.8,150,0
476,1294,1,297.4,309.1,1380,41.1,152,0
477,1295,1,297.4,309.0,1570,37.9,154,0
478,52,0,297.4,309.0,1468,41.4,156,0
479,1296,1,297.4,309.0,1833,22.6,161,0
480,7135,2,297.4,308.9,1323,57.3,163,0
481,1297,1,297.4,309.0,1583,32.0,166,0
482,7136,2,297.3,309.0,1556,39.5,168,0
483,1298,1,297.3,309.0,1548,37.4,171,0
484,1299,1,297.4,309.0,1324,56.9,173,0
485,1300,1,297.4,309.0,1568,33.7,175,0
486,7137,2,297.4,309.0,1685,30.7,177,0
487,7138,2,297.4,309.1,1582,35.9,180,0
488,7139,2,297.4,309.1,1463,35.0,183,0
489,1301,1,297.4,309.2,1584,42.8,186,0
490,7140,2,297.5,309.2,1347,55.8,188,0
491,1302,1,297.4,309.2,1459,37.9,191,0
492,1303,1,297.4,309.2,1420,45.6,193,0
493,1304,1,297.5,309.3,1404,43.5,195,0
494,1305,1,297.5,309.3,1470,38.8,197,0
495,1306,1,297.6,309.4,1326,49.8,199,0
496,53,0,297.5,309.3,1459,49.7,201,0
497,7141,2,297.5,309.2,1530,40.0,206,0
498,1307,1,297.4,309.0,1505,39.2,209,0
499,1308,1,297.5,309.1,1611,30.2,211,0
500,1309,1,297.5,309.1,1515,35.1,213,0
501,7142,2,297.5,309.2,1804,27.4,215,0
502,7143,2,297.6,309.3,1464,46.2,218,0
503,1310,1,297.6,309.2,1390,43.3,221,0
504,7144,2,297.6,309.2,1442,48.1,0,0
505,7145,2,297.6,309.3,1529,41.9,3,0
506,1311,1,297.6,309.3,1610,35.0,6,0
507,1312,1,297.6,309.3,1543,34.3,8,0
508,54,0,297.8,309.4,1445,48.2,10,0
509,1313,1,297.7,309.3,1893,24.6,15,0
510,7146,2,297.6,309.3,1415,41.3,17,0
511,1314,1,297.5,309.3,1564,37.5,20,0
512,1315,1,297.5,309.3,1479,39.4,22,0
513,1316,1,297.5,309.2,1426,44.8,24,0
514,1317,1,297.4,309.2,1428,38.8,26,0
515,1318,1,297.4,309.2,1620,33.2,28,0
516,1319,1,297.5,309.2,1715,28.0,30,0
517,1320,1,297.5,309.3,1732,29.9,32,0
518,7147,2,297.5,309.4,1391,58.2,34,0
519,1321,1,297.6,309.5,1924,20.6,37,0
520,7148,2,297.7,309.5,2027,19.8,39,0
521,1322,1,297.6,309.5,1617,36.2,42,0
522,1323,1,297.5,309.4,1497,35.8,44,0
523,7149,2,297.5,309.5,1448,43.7,46,0
524,1324,1,297.4,309.4,1401,45.9,49,0
525,1325,1,297.4,309.4,1620,35.4,51,0
526,1326,1,297.4,309.4,1466,45.5,53,0
527,1327,1,297.6,309.5,1373,50.6,55,0
528,7150,2,297.6,309.6,1592,35.8,57,0
529,7151,2,297.5,309.5,1553,42.4,60,0
530,1328,1,297.6,309.5,1569,36.2,63,0
531,7152,2,297.6,309.5,1709,32.2,65,0
532,1329,1,297.6,309.5,1549,34.9,68,0
533,1330,1,297.5,309.4,1443,45.4,70,0
534,1331,1,297.5,309.3,1675,29.8,72,0
535,1332,1,297.5,309.3,1623,33.4,74,0
536,55,0,297.4,309.3,1365,52.4,76,0
